Item,Units,Intake Dinner,Daily intake reccomendation,,,,,,,,,
Energy,kcal,421.375,"2,000",,,,,,,,,
Protein,g,20.3313,60,,,,,,,,,
Fat,g,11.625,70,,,,,,,,,
Saturates,g,3.65,20,,,,,,,,,
Monounsaturates,g,4.01875,25,,,,,,,,,
Polyunsaturates,g,2.2,15,,,,,,,,,
Trans,g,0.0375,0,,,,,,,,,
Omega-3 Fatty Acids,g,0,1,,,,,,,,,
Omega-6 Fatty Acids,g,0,6,,,,,,,,,
Omega-9 Fatty Acids,g,0,N/A,,,,,,,,,
Available Carbohydrate,g,45.1125,260,,,,,,,,,
Total Carbohydrate,g,64.05,260,,,,,,,,,
Starch,g,33.8375,N/A,,,,,,,,,
Sugars,g,12.1938,90,,,,,,,,,
Added Sugars,g,0.425,0,,,,,,,,,
Polyols,g,0,N/A,,,,,,,,,
Dietary Fibre,g,11.5063,25,,,,,,,,,
Sodium,g,1.70375,2.3,,,,,,,,,
Salt,g,4.26,6,,,,,,,,,
Moisture,g,475.444,N/A,,,,,,,,,
Alcohol,g,0,0,,,,,,,,,
Organic Acids,g,0,N/A,,,,,,,,,
Nitrogen,g,2.23188,N/A,,,,,,,,,
Cholesterol,mg,6.5,0,,,,,,,,,
Potassium,mg,1089.19,3500,,,,,,,,,
Calcium,mg,268,950,,,,,,,,,
Magnesium,mg,107.875,300,,,,,,,,,
Phosphorus,mg,321.5,550,,,,,,,,,
Iron,mg,5.65625,16,,,,,,,,,
Copper,mg,0.63688,1.6,,,,,,,,,
Zinc,mg,2.86875,10,,,,,,,,,
Chloride,mg,2042.25,2300,,,,,,,,,
Manganese,mg,1.38125,3,,,,,,,,,
Selenium,æg,20.75,70,,,,,,,,,
Iodine,æg,15,150,,,,,,,,,
Retinol,æg,64.4375,650,,,,,,,,,
Carotene,æg,1444.94,N/A,,,,,,,,,
Vitamin D,æg,0.30625,15,,,,,,,,,
Vitamin E,mg,3.81438,11,,,,,,,,,
Thiamin (Vitamin B1),mg,0.5025,1.1,,,,,,,,,
Riboflavin (Vitamin B2),mg,0.33625,1.6,,,,,,,,,
Niacin (Vitamin B3),mg,4.15625,13,,,,,,,,,
Tryptophan/60,mg,2.25625,250,,,,,,,,,
Vitamin B6,mg,0.525,1.6,,,,,,,,,
Folate,æg,145.25,330,,,,,,,,,
Pantothenate,mg,1.65,5,,,,,,,,,
Biotin,æg,6.49375,40,,,,,,,,,
Vitamin C,mg,61.3125,95,,,,,,,,,
Vitamin B12,æg,0.54375,4,,,,,,,,,
Vitamin A,æg,344.313,650,,,,,,,,,
Vitamin K,?g,7.125,70,,,,,,,,,
Fluoride,?g,1.3875,3,,,,,,,,,
Chromium,?g,0,25,,,,,,,,,
Molybdenum,?g,0,65,,,,,,,,,
Choline,mg,12.6438,400,,,,,,,,,
